"Programme / Group","Source Site","Host","Type","Document / Page Title","Year","URL"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Terms & Conditions | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/termsconditions"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Track Proposal | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/gender-budgeting/genderBudgeting_track_proposal"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","WHL Public Insights | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/statisticsWhl"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Act and Rules | Mission Vatsalya WCD Govt of India","2023","https://missionvatsalya.wcd.gov.in/children-related-law"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","adoption of UIDAIs Information Security Policy","","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/adoption_of_UIDAIs_Information_Security_Policy.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","bns","2023","https://missionvatsalya.wcd.gov.in/public/pdf/bns.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Citizen Register | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/citizen-register"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Contact Us| Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/contactus"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Feedback | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/feedback"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Forgot Password | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/forgot-password"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Foster Care | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/foster-care"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Grievance | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/grievance/adoption-process"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Grievance-Status | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/grievance/status"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Grievance-Status | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/vatsalyagrievance/status"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Home | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","In Country Adoption | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/adoption-under-jj-act"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","jj model rules 2016","2016","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/jj_model_rules_2016.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","JJAct 2015","2015","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/JJAct_2015.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Login - Citizen Corner | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/citizen-login"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","Model Fostercare Guidelines 2024","2024","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/Model_Fostercare_Guidelines_2024.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","National Plan of Action 2016","2020","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/National%20Plan%20of%20Action%202016.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Photo Gallery | Mission Vatsalya WCD Govt of India","2020","https://missionvatsalya.wcd.gov.in/gallery"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","pmcaresguidelines","2021","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/pmcaresguidelines.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","POCSO Rules 2020","2020","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/POCSO%20Rules%202020.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","Protection of Children From Sexual Offences (Amendment) Act, 2019","2020","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/Protection%20of%20Children%20From%20Sexual%20Offences%20(Amendment)%20Act,%202019.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Relative/Step Adoption | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/relative-step-adoption"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","scheme care support victim","2023","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/scheme_care_support_victim.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Screen Reader Access | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/screen-reader-access"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Site Map| Mission Vatsalya WCD Govt of India","2024","https://missionvatsalya.wcd.gov.in/sitemap"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","sop ch vatsalya","2022","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/sop_ch_vatsalya.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","sop missing child","2015","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/sop_missing_child.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Stakeholder Login|Mission Vatsalya MWCD Govt of India","","https://missionvatsalya.wcd.gov.in/login"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","State / District Nodal Officer For Missing Children Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/state-nodal-officer"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Terms & Conditions | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/terms-conditions"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","The Commissions for Protection of Child Rights Act, 2005","2020","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/The%20Commissions%20for%20Protection%20of%20Child%20Rights%20Act,%202005.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","THE JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) AMENDMENT ACT 2021","2021","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/THE%20JUVENILE%20JUSTICE%20(CARE%20AND%20PROTECTION%20OF%20CHILDREN)%20AMENDMENT%20ACT%202021.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","THE PROHIBITION OF CHILD MARRIAGE ACT, 2006","2020","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/THE%20PROHIBITION%20OF%20CHILD%20MARRIAGE%20ACT,%202006.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","THE RIGHT OF CHILDREN TO FREE AND COMPULSORY EDUCATION ACT, 2009","2020","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/THE%20RIGHT%20OF%20CHILDREN%20TO%20FREE%20AND%20COMPULSORY%20EDUCATION%20ACT,%202009.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","TrackchildPolice Stations Details Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/trackchild-police-station-list"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Vatsalya Grievance | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/vatsalyagrievance/vatsalya-scheme-related"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PDF","vatsalyaguideline","","https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/vatsalyaguideline.pdf"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Video Spot | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/video-spot"
"Mission Vatsalya","Mission Vatsalya","missionvatsalya.wcd.gov.in","PAGE","Website Policies | Mission Vatsalya WCD Govt of India","","https://missionvatsalya.wcd.gov.in/website-policies"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1709101250","","https://wcd.gov.in/documents/uploaded/1709101250.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1709101314","","https://wcd.gov.in/documents/uploaded/1709101314.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1709101352","2019","https://wcd.gov.in/documents/uploaded/1709101352.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1710248151","2020","https://wcd.gov.in/documents/uploaded/1710248151.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1714735285 6mk6vREdmf","","https://wcd.gov.in/documents/uploaded/1714735285_6mk6vREdmf.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1727956379 BnC9JAlNxZ","","https://wcd.gov.in/documents/uploaded/1727956379_BnC9JAlNxZ.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1732020683","2020","https://wcd.gov.in/documents/uploaded/1732020683.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1733739240","2024","https://wcd.gov.in/documents/uploaded/1733739240.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1752657934 S1PvBsDJDS","2025","https://wcd.gov.in/documents/uploaded/1752657934_S1PvBsDJDS.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1778235788","2026","https://wcd.gov.in/documents/uploaded/press/1778235788.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1778235864","2026","https://wcd.gov.in/documents/uploaded/press/1778235864.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1779094782","","https://wcd.gov.in/documents/uploaded/press/1779094782.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1782813940 cbLa6HkSzS","","https://wcd.gov.in/images/uploaded/1782813940_cbLa6HkSzS.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1784184350","2026","https://wcd.gov.in/documents/uploaded/1784184350.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1784890927","","https://wcd.gov.in/documents/uploaded/1784890927.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1785479859 YYmycvpRV3","","https://wcd.gov.in/images/uploaded/1785479859_YYmycvpRV3.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PDF","1786431855 ZzWgLirywO","2026","https://wcd.gov.in/images/uploaded/1786431855_ZzWgLirywO.pdf"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","About Us | Ministry of Women and Child Development","","https://wcd.gov.in/ministry/about-us"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Annual Report | Ministry of Women and Child Development","","https://wcd.gov.in/documents/report"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Annual Report | Ministry of Women and Child Development","","https://wcd.gov.in/documents/annual-report"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Annual Report | Ministry of Women and Child Development","","https://wcd.gov.in/documents/annual-report-archives"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Awards | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/award"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Budget | Ministry of Women and Child Development","","https://wcd.gov.in/documents/budget"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Cabinet Minister | Ministry of Women and Child Development","","https://wcd.gov.in/ministry/cabinet-minister"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Channel Of Submission | Ministry of Women and Child Development","","https://wcd.gov.in/documents/report-channel-of-submission"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Citizen's Charter | Ministry of Women and Child Development","","https://wcd.gov.in/connect/citizens-charter"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Contact Us | Ministry of Women and Child Development","","https://wcd.gov.in/connect/contact-us"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Directory | Ministry of Women and Child Development","","https://wcd.gov.in/directory"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Early Childhood Care and Education | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/early-childhood-care-and-education"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Evaluation Report | Ministry of Women and Child Development","","https://wcd.gov.in/documents/evaluation-report"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Events | Ministry of Women and Child Development","","https://wcd.gov.in/events"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Grievance | Ministry of Women and Child Development","","https://wcd.gov.in/connect/grievance"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Help | Ministry of Women and Child Development","","https://wcd.gov.in/pages/help"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Home | Government of India,Ministry of Women and Child Development","","https://wcd.gov.in/"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Home | Ministry of Women and Child Development","","https://wcd.gov.in/documents/legislations"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Home | Ministry of Women and Child Development","","https://wcd.gov.in/cookie-settings"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Home | Ministry of Women and Child Development","","https://wcd.gov.in/cookie/customiz"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Induction Material | Ministry of Women and Child Development","","https://wcd.gov.in/documents/report-induction-material"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Induction Material | Ministry of Women and Child Development","","https://wcd.gov.in/documents/report-declaration-of-hod-and-delegation"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","International Collaboration | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/international-collaboration"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Internship | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/internship"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Minister of State | Ministry of Women and Child Development","","https://wcd.gov.in/ministry/minister-of-state"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Miscellaneous_Report | Ministry of Women and Child Development","","https://wcd.gov.in/documents/miscellaneous-report"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Mission Shakti | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/mission-shakti-guidelines-for-implementation"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Mission Shakti | Ministry of Women and Child Development","","https://wcd.gov.in/women/mission-shakti"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Mission Shakti | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/mission-shakti-guidelines-for-implementation-mission-shakti"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Mission Vatsalya | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/mission-vatsalya"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Mission Vatsalya | Ministry of Women and Child Development","","https://wcd.gov.in/child/mission_vatsalya"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Mission Vatsalya | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/mission-vatsalya-scheme"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Missions & Offerings | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/mission-guidelines"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Monthly Report | Ministry of Women and Child Development","","https://wcd.gov.in/documents/monthly-report"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Notifications | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/whatsnew"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Orders and Notices | Ministry of Women and Child Development","","https://wcd.gov.in/documents/orders-and-notices"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Our Organizations | Ministry of Women and Child Development","","https://wcd.gov.in/ministry/our-organizations"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Our Performance | Ministry of Women and Child Development","","https://wcd.gov.in/ministry/our-performance"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Our Team | Ministry of Women and Child Development","","https://wcd.gov.in/ministry/our-team"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Parliament Questions | Ministry of Women and Child Development","","https://wcd.gov.in/connect/parliament-questions"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Photos | Ministry of Women and Child Development","","https://wcd.gov.in/photos"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Press | Ministry of Women and Child Development","","https://wcd.gov.in/press"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Press Release | Ministry of Women and Child Development","","https://wcd.gov.in/documents/press-release"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Prospective Foster/Adoptive Parents | Ministry of Women and Child Development","","https://wcd.gov.in/prospective-adoptive-parents"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Public Consultation | Ministry of Women and Child Development","","https://wcd.gov.in/feedback"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Publications | Ministry of Women and Child Development","","https://wcd.gov.in/documents/publications"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","RTI | Ministry of Women and Child Development","","https://wcd.gov.in/connect/rti"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Schemes and Services | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/schemes-and-services"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Sitemap | Ministry of Women and Child Development","","https://wcd.gov.in/pages/sitemap"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Tenders | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/tenders"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Tenders | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/tenders/archive"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","VideoGalleries | Ministry of Women and Child Development","","https://wcd.gov.in/videogalleries"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Webcast | Ministry of Women and Child Development","","https://wcd.gov.in/webcast"
"National (MoWCD)","MoWCD (National)","wcd.gov.in","PAGE","Websites Policies | Ministry of Women and Child Development","","https://wcd.gov.in/pages/privacy"
"Poshan Abhiyaan","MoWCD (National)","wcd.gov.in","PDF","1705916683","2022","https://wcd.gov.in/documents/uploaded/1705916683.pdf"
"Poshan Abhiyaan","MoWCD (National)","wcd.gov.in","PDF","1778235889","","https://wcd.gov.in/documents/uploaded/press/1778235889.pdf"
"Poshan Abhiyaan","MoWCD (National)","wcd.gov.in","PDF","1779691703 6a13f0b70b744","2026","https://wcd.gov.in/documents/uploaded/press/1779691703_6a13f0b70b744.pdf"
"Poshan Abhiyaan","MoWCD (National)","wcd.gov.in","PAGE","Mission Saksham Anganwadi & POSHAN 2.0 | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/schemes-services-mission-poshan-2-0"
"Poshan Abhiyaan","MoWCD (National)","wcd.gov.in","PAGE","Mission Saksham Anganwadi and Poshan 2.0 | Ministry of Women and Child Development","","https://wcd.gov.in/pregnant-lactating-women-children/nutrition-mission-saksham-anganwadi-and-poshan-2-0"
"Poshan Abhiyaan","MoWCD (National)","wcd.gov.in","PAGE","Mission Saksham Anganwadi and Poshan 2.0 | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/nutrition-mission-saksham-anganwadi-and-poshan-2-0-mission-saksham-anganwadi-poshan-2-0"
"Poshan Abhiyaan","MoWCD (National)","wcd.gov.in","PAGE","POSHAN Tracker | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/poshan-tracker"
"Poshan Abhiyaan","MoWCD (National)","wcd.gov.in","PAGE","Protocol | Ministry of Women and Child Development","","https://wcd.gov.in/offerings/schemes-services-mission-poshan-2-0-portals"
"Poshan Abhiyaan","MoWCD (National)","wcd.gov.in","PAGE","WCD","2026","https://wcd.gov.in/home-dashboard"
